SubTopicId,SubTopicWords,Count,Date,TopicId,Topic,TopicCategory
2,verify honors file end profile loyalty,1773,4/10/2016,1,verify honors,confirmation
3,change verify file confirmation profile,1687,4/9/2016,1,verify honors,confirmation
5,queen clean family bed refrigerator microwave,1271,4/10/2016,4,queen bed,amenities
6,room queen bed clean join size,1818,4/9/2016,4,queen bed,amenities
7,queen bed nonsmoking clean,4214,4/8/2016,4,queen bed,amenities
8,queen bed clean size,3928,4/7/2016,4,queen bed,amenities
9,queen bed room size saint_louis,3935,4/6/2016,4,queen bed,amenities
10,bed queen room clean size,5399,4/5/2016,4,queen bed,amenities
11,bed queen tax size sofa,2049,4/4/2016,4,queen bed,amenities
12,room bed queen clean size,2918,4/3/2016,4,queen bed,amenities
14,kids pool full kitchen indoor,440,4/10/2016,13,pool,amenities
15,pool kids pull indoor fast,403,4/9/2016,13,pool,amenities
16,pool indoor fit area swimming outdoor,368,4/8/2016,13,pool,amenities
17,pool water indoor basically certificate,550,4/7/2016,13,pool,amenities
19,book online directly website,1394,4/10/2016,18,book online,booking
20,book online hotel website match,1331,4/9/2016,18,book online,booking
21,hotel book directly check realize,4729,4/8/2016,18,book online,booking
22,hotel directly front_desk downtown san_diego,3280,4/7/2016,18,book online,booking
23,hotel directly website book site,3614,4/6/2016,18,book online,booking
24,book hotel room list disconnected,4650,4/5/2016,18,book online,booking
26,adults child tax bed nonsmoking,2968,4/10/2016,25,child age,rates
27,adults child check room age member,3066,4/9/2016,25,child age,rates
28,adults child evening age accommodate,4192,4/8/2016,25,child age,rates
29,adults child tax age party,3652,4/7/2016,25,child age,rates
30,adults child age check detroit,4405,4/6/2016,25,child age,rates
31,adults child tax room age,5081,4/5/2016,25,child age,rates
32,child adults request credit_card yahoo,1268,4/4/2016,25,child age,rates
34,zip_code email street confirmation mail spell gmail,1506,4/10/2016,33,confirm address,confirmation
35,email confirmation send credit_card gmail zip_code,2199,4/9/2016,33,confirm address,confirmation
36,dot confirmation email zip_code spell apple,2967,4/8/2016,33,confirm address,confirmation
38,wedding block party room groom,570,4/10/2016,37,wedding party,event
39,wedding party family room reunion married,571,4/9/2016,37,wedding party,event
40,wedding party room block married groom,642,4/8/2016,37,wedding party,event
41,wedding party block married groom,538,4/7/2016,37,wedding party,event
42,block wedding room party locker groom,1453,4/6/2016,37,wedding party,event
43,block room left rate tournament american release,1766,4/5/2016,37,wedding party,event
44,block left set event locker,748,4/4/2016,37,wedding party,event
46,moment provide information confirmation major specialist truck,306,4/10/2016,45,provide information,booking
47,moment pull information provide verizon,1187,4/9/2016,45,provide information,booking
48,military active information retired duty,506,4/8/2016,45,provide information,booking
50,check hotel noon late boulevard records,3064,4/10/2016,49,early/late check-in,check-in
51,check oclock early late noon,2052,4/9/2016,49,early/late check-in,check-in
52,check early late oclock,5844,4/8/2016,49,early/late check-in,check-in
53,check problem early oclock late,5426,4/7/2016,49,early/late check-in,check-in
54,check home sweet suites homewood,3440,4/6/2016,49,early/late check-in,check-in
56,living school texas hotel london track,241,4/10/2016,55,craziness,family
