Date,Words,Prevalence,Count,MainTopic,TopTopic
9/28/2016,"ago, stuff, couple, phoenix, paperwork, looked",0.008622806,1064,ago,*** uncategorized ***
10/6/2016,"ago, hours, pick, order, fix, wife",0.019660177,3271,ago,*** uncategorized ***
10/5/2016,"ahead, list, guess, hoping, apologize",0.011643703,2982,ahead,*** uncategorized ***
9/22/2016,"specific, area, accounting, program, network, security, analytics",0.009077896,770,area,*** uncategorized ***
9/9/2016,"area, study, bit, professional, remote",0.004870252,346,area,*** uncategorized ***
9/12/2016,"area, full, code, accept, remote",0.008578356,1529,area,*** uncategorized ***
8/31/2016,"automatically, automated, insurance, move, cleared",0.009783546,762,automatically,*** uncategorized ***
8/26/2016,"awesome, open, close, scholarship, chat, curious",0.022890808,2491,awesome,*** uncategorized ***
9/30/2016,"awesome, recommend, letter, statement, resume",0.012103793,1716,awesome,*** uncategorized ***
8/29/2016,"awesome, soon, admissions, review, chance",0.020371133,2933,awesome,*** uncategorized ***
8/31/2016,"awesome, super, pretty, student, amazing, agent",0.008534184,568,awesome,*** uncategorized ***
9/13/2016,"awesome, questions, next, academic, glad, checkin",0.021686045,3495,awesome,*** uncategorized ***
9/15/2016,"awesome, problem, touch, based, chance",0.017501554,3399,awesome,*** uncategorized ***
9/16/2016,"awesome, work, bit, military, clock, stick",0.024625442,3421,awesome,*** uncategorized ***
9/23/2016,"awesome, excited, bad, deal, nervous",0.014480122,2218,awesome,*** uncategorized ***
9/26/2016,"awesome, miss, return, receive, eat",0.010406502,2152,awesome,*** uncategorized ***
9/27/2016,"awesome, excited, bit, drive, game",0.011278539,1554,awesome,*** uncategorized ***
8/31/2016,"fun, bad, crazy, hard, funny, text",0.016829516,1045,bad,*** uncategorized ***
8/30/2016,"bad, run, game, team, died, season",0.01529219,1025,bad,*** uncategorized ***
10/14/2016,"bad, run, better, morning, wife, town, drive",0.022089906,1767,bad,*** uncategorized ***
9/9/2016,"bad, work, sort, weeks, sick, stress, stage",0.009182928,587,bad,*** uncategorized ***
9/14/2016,"bad, house, stuff, close, seconds, weird",0.017048691,2199,bad,*** uncategorized ***
9/26/2016,"drop, bad, late, hit, participate, terrible, draft",0.010662241,988,bad,*** uncategorized ***
9/27/2016,"bad, stuff, job, better, pet, boss, horrible, christmas",0.007949831,546,bad,*** uncategorized ***
8/29/2016,"basically, half, grad, quest, rich",0.003980106,197,basically,*** uncategorized ***
9/1/2016,"basically, live, country, care, million, retired, bus",0.008919325,579,basically,*** uncategorized ***
9/2/2016,"basically, work, pretty, brand, analytics, software, senior",0.003888257,78,basically,*** uncategorized ***
9/7/2016,"basically, understand, start, questions, new_york, explain",0.01286621,2470,basically,*** uncategorized ***
10/1/2016,"honestly, basically, work, move, position",0.009150106,27,basically,*** uncategorized ***
8/26/2016,"couple, best, team, side, apple",0.010748176,1725,best,*** uncategorized ***
10/3/2016,"best, touch, based, happy, wonderful",0.013536882,3789,best,*** uncategorized ***
10/5/2016,"best, find, hear, guess, curious",0.005404086,286,best,*** uncategorized ***
10/7/2016,"best, run, new_york, explain, video, wife",0.013304914,1889,best,*** uncategorized ***
9/28/2016,"big, play, point, team, funny, game, picture",0.014847085,1453,big,*** uncategorized ***
9/20/2016,"big, game, play, run, north, season",0.010803364,1527,big,*** uncategorized ***
10/12/2016,"remember, big, pretty, better, water, hurricane",0.015932621,2213,big,*** uncategorized ***
9/16/2016,"data, birth, analytics, customer",0.00722824,244,birth,*** uncategorized ***
9/23/2016,"learning, bit, experience, flexibility, instructor, topic, thoughts",0.005364724,310,bit,*** uncategorized ***
9/8/2016,"bit, pretty, sort, run",0.013211726,3024,bit,*** uncategorized ***
10/1/2016,"bit, hold, apologize, understand, touch",0.021285458,97,bit,*** uncategorized ***
10/15/2016,"bit, end, doctor, quick, undergraduate",0.011528897,59,bit,*** uncategorized ***
8/26/2016,"box, left, complete, hand, internet",0.014864775,1529,box,*** uncategorized ***
8/30/2016,"fall, box, terms, start, spring, adjust",0.008643231,650,box,*** uncategorized ***
9/2/2016,"box, game, laptop, center, event",0.011542096,940,box,*** uncategorized ***
9/13/2016,"box, voicemail, set, mobile, extension",0.021892043,2366,box,*** uncategorized ***
9/14/2016,"box, back, reminder, check, birthday, sheree",0.011932434,1933,box,*** uncategorized ***
9/17/2016,"box, record, wrong, notes",0.027346761,345,box,*** uncategorized ***
9/22/2016,"box, respond, lease, spend, mobile, shot",0.014092191,2177,box,*** uncategorized ***
9/27/2016,"box, terms, huge, program, commencement, invite",0.006387449,388,box,*** uncategorized ***
9/29/2016,"box, voicemail, clock, meet, desk",0.020708367,2786,box,*** uncategorized ***
10/3/2016,"remember, box, appointment, city, rich",0.008144534,1620,box,*** uncategorized ***
10/4/2016,"box, away, report, squared, capital",0.00976838,1305,box,*** uncategorized ***
10/7/2016,"box, verify, services, quick, date_of_brith, real",0.020259141,3286,box,*** uncategorized ***
10/12/2016,"box, system, set, military, voicemail",0.02235877,2906,box,*** uncategorized ***
10/4/2016,"area, center, resource, library, quest, remote",0.006069298,323,center,*** uncategorized ***
9/17/2016,"update, chance, start, sounds, worry, new",0.02262803,180,chance,*** uncategorized ***
8/29/2016,"change, plan, academic, coach, biggest",0.011126944,1420,change,*** uncategorized ***
8/31/2016,"house, change, pay, paper, floor, terrible, basement",0.007656384,514,change,*** uncategorized ***
9/2/2016,"change, program, justice, criminal, appeal",0.007407889,148,change,*** uncategorized ***
9/8/2016,"change, mind, system, fast, confused, originally",0.010118416,1436,change,*** uncategorized ***
9/9/2016,"change, new, case, guess, customer",0.015260637,2389,change,*** uncategorized ***
10/13/2016,"change, academic, registered, learners, advising, advisor",0.015201224,1992,change,*** uncategorized ***
9/12/2016,"change, case, update, process, escalation",0.026174583,4094,change,*** uncategorized ***
9/13/2016,"change, new, code, password, enter",0.012501203,2336,change,*** uncategorized ***
9/15/2016,"change, new, read, writing, code, assessment",0.01966485,2996,change,*** uncategorized ***
9/17/2016,"service, change, evaluate, open",0.018225031,186,change,*** uncategorized ***
9/20/2016,"change, move, switch, new, customer",0.018797854,3778,change,*** uncategorized ***
9/22/2016,"change, new, care, longer, customer, switch",0.015622942,3485,change,*** uncategorized ***
9/26/2016,"change, new, switch, data, customer",0.010904228,2153,change,*** uncategorized ***
9/23/2016,"change, certificate, program, graduate, alternative",0.01321097,1685,change,*** uncategorized ***
9/28/2016,"change, hoping, payment, appeal, pronounce, rules",0.006945413,587,change,*** uncategorized ***
9/29/2016,"change, new, data, military, folder",0.010848246,1918,change,*** uncategorized ***
10/3/2016,"change, bit, new, start, withdraw, weird",0.014289153,3545,change,*** uncategorized ***
